age,normal,overweight,obese
0,32,1,1
1,47,0,2
2,52,0,2
3,55,0,1
4,46,0,0
5,68,0,0
6,59,0,0
7,53,0,0
8,61,1,0
9,40,0,0
10,53,0,1
11,48,0,2
12,107,2,0
13,102,4,1
14,98,4,1
15,114,7,2
16,95,3,4
17,86,4,3
18,88,10,1
19,68,9,1
20,74,7,2
21,70,10,3
22,60,17,2
23,64,9,4
24,53,9,3
25,50,12,4
26,68,15,8
27,51,20,4
28,51,17,9
29,56,14,3
30,59,16,6
31,49,24,3
32,47,24,13
33,57,22,5
34,61,36,4
35,68,43,9
36,73,48,14
37,59,35,18
38,62,72,10
39,79,56,17
40,58,36,11
41,55,46,13
42,75,38,8
43,68,44,9
44,60,47,12
45,53,45,12
46,58,45,15
47,59,45,15
48,62,40,13
49,53,44,15
50,47,59,16
51,64,42,10
52,49,45,21
53,43,50,14
54,53,42,21
55,47,48,13
56,50,47,14
57,63,51,14
58,46,55,18
59,66,49,15
60,50,44,23
61,56,55,19
62,35,41,16
63,37,45,14
64,42,56,8
65,29,34,10
66,29,27,11
67,29,22,6
68,31,31,6
69,43,36,11
70,33,25,4
71,33,30,13
72,34,25,7
73,25,30,11
74,22,20,6
75,16,25,6
76,34,9,2
77,20,21,6
78,17,25,4
79,14,15,1
80,15,18,2
81,19,11,0
82,8,5,2
83,11,3,0
84,10,6,2
85,32,17,1
